Local Board,Total.pop,Total.submissions,Ethnicity,Pop.count,Percent.of.pop,Submissions,percent.of.submissions,pct.gap
Albert-Eden Local Board,94695,1440,Asian,25275,26.69,236,16.39,-10.3
Devonport-Takapuna Local Board,55467,817,Asian,10575,19.07,128,15.67,-3.4000000000000004
Franklin Local Board,65322,609,Asian,3735,5.72,35,5.75,0.03000000000000025
Great Barrier Local Board,939,26,Asian,9,0.96,0,0,-0.96
Henderson-Massey Local Board,107682,715,Asian,21981,20.41,136,19.02,-1.3900000000000006
Hibiscus and Bays Local Board,89829,977,Asian,7161,7.97,144,14.74,6.7700000000000005
Howick Local Board,127125,1109,Asian,47511,37.37,402,36.25,-1.1199999999999974
Kaipatiki Local Board,82494,1025,Asian,20559,24.92,202,19.71,-5.210000000000001
Mangere-Otahuhu Local Board,70959,273,Asian,11151,15.71,41,15.02,-0.6900000000000013
Manurewa Local Board,82242,725,Asian,15384,18.71,93,12.83,-5.880000000000001
Maungakiekie-Tamaki Local Board,70002,683,Asian,15324,21.89,135,19.77,-2.120000000000001
Orakei Local Board,79536,1031,Asian,13698,17.22,118,11.45,-5.77
Otara-Papatoetoe Local Board,75663,316,Asian,21396,28.28,63,19.94,-8.34
Papakura Local Board,45633,394,Asian,5448,11.94,117,29.7,17.759999999999998
Puketapapa Local Board,52938,316,Asian,22284,42.09,109,34.49,-7.600000000000001
Rodney Local Board,54882,1361,Asian,1746,3.18,57,4.19,1.0100000000000002
Upper Harbour Local Board,53670,578,Asian,15e3,27.95,196,33.91,5.959999999999997
Waiheke Local Board,8340,179,Asian,255,3.06,2,1.12,-1.94
Waitakere Ranges Local Board,48399,663,Asian,4335,8.96,58,8.75,-0.21000000000000085
Waitemata Local Board,77136,1140,Asian,20322,26.35,126,11.05,-15.3
Whau Local Board,72597,603,Asian,24078,33.17,151,25.04,-8.130000000000003
Albert-Eden Local Board,94695,1440,European,56592,59.76,1147,79.65,19.890000000000008
Devonport-Takapuna Local Board,55467,817,European,40623,73.24,651,79.68,6.440000000000012
Franklin Local Board,65322,609,European,52551,80.45,557,91.46,11.009999999999991
Great Barrier Local Board,939,26,European,744,79.23,24,92.31,13.079999999999998
Henderson-Massey Local Board,107682,715,European,56313,52.3,496,69.37,17.070000000000007
Hibiscus and Bays Local Board,89829,977,European,75948,84.55,807,82.6,-1.9500000000000028
Howick Local Board,127125,1109,European,67446,53.05,654,58.97,5.920000000000002
Kaipatiki Local Board,82494,1025,European,50700,61.46,751,73.27,11.809999999999995
Mangere-Otahuhu Local Board,70959,273,European,12690,17.88,130,47.62,29.74
Manurewa Local Board,82242,725,European,27900,33.92,287,39.59,5.670000000000002
Maungakiekie-Tamaki Local Board,70002,683,European,30852,44.07,508,74.38,30.309999999999995
Orakei Local Board,79536,1031,European,58671,73.77,884,85.74,11.969999999999999
Otara-Papatoetoe Local Board,75663,316,European,14373,19,91,28.8,9.8
Papakura Local Board,45633,394,European,26061,57.11,240,60.91,3.799999999999997
Puketapapa Local Board,52938,316,European,19140,36.16,186,58.86,22.700000000000003
Rodney Local Board,54882,1361,European,46587,84.89,1262,92.73,7.840000000000003
Upper Harbour Local Board,53670,578,European,33522,62.46,365,63.15,0.6899999999999977
Waiheke Local Board,8340,179,European,7068,84.75,174,97.21,12.459999999999994
Waitakere Ranges Local Board,48399,663,European,35754,73.87,567,85.52,11.649999999999991
Waitemata Local Board,77136,1140,European,45168,58.56,971,85.18,26.620000000000005
Whau Local Board,72597,603,European,30603,42.15,406,67.33,25.18
Albert-Eden Local Board,94695,1440,Maori,6108,6.45,119,8.26,1.8099999999999996
Devonport-Takapuna Local Board,55467,817,Maori,2847,5.13,54,6.61,1.4800000000000004
Franklin Local Board,65322,609,Maori,8175,12.51,52,8.54,-3.9700000000000006
Great Barrier Local Board,939,26,Maori,150,15.97,1,3.85,-12.120000000000001
Henderson-Massey Local Board,107682,715,Maori,16008,14.87,89,12.45,-2.42
Hibiscus and Bays Local Board,89829,977,Maori,5004,5.57,65,6.65,1.08
Howick Local Board,127125,1109,Maori,6327,4.98,66,5.95,0.9699999999999998
Kaipatiki Local Board,82494,1025,Maori,6615,8.02,100,9.76,1.7400000000000002
Mangere-Otahuhu Local Board,70959,273,Maori,10335,14.56,43,15.75,1.1899999999999995
Manurewa Local Board,82242,725,Maori,19128,23.26,378,52.14,28.88
Maungakiekie-Tamaki Local Board,70002,683,Maori,8505,12.15,75,10.98,-1.17
Orakei Local Board,79536,1031,Maori,3600,4.53,71,6.89,2.3599999999999994
Otara-Papatoetoe Local Board,75663,316,Maori,10791,14.26,83,26.27,12.01
Papakura Local Board,45633,394,Maori,11976,26.24,64,16.24,-10
Puketapapa Local Board,52938,316,Maori,2853,5.39,21,6.65,1.2600000000000007
Rodney Local Board,54882,1361,Maori,5082,9.26,114,8.38,-0.879999999999999
Upper Harbour Local Board,53670,578,Maori,2610,4.86,35,6.06,1.1999999999999993
Waiheke Local Board,8340,179,Maori,891,10.68,21,11.73,1.0500000000000007
