Local Board,Euro.submissions,Maori.submissions,Pacific.submissions,Asian.submissions,MELAA.submissions,Other.submissions,total.submissions,Median household income,ethnic.submissions,European.pop,Maori.pop,Pacific.pop,Asian.pop,MELAA.pop,Other.pop,Total.pop,submissions.rate.board,submissions.percent
Albert-Eden Local Board,1147,119,60,236,18,44,1788,87500,1440,56592,6108,6960,25275,1917,1053,94695,1.8881672738792967,9.625841184387617
Devonport-Takapuna Local Board,651,54,7,128,15,36,1083,85700,817,40623,2847,1173,10575,951,792,55467,1.9525123046135542,5.830417227456258
Franklin Local Board,557,52,14,35,11,35,1053,80900,609,52551,8175,2547,3735,249,1113,65322,1.6120143290162579,5.668909825033648
Great Barrier Local Board,24,1,3,0,1,2,35,30300,26,744,150,21,9,6,27,939,3.727369542066028,0.18842530282637954
Henderson-Massey Local Board,496,89,66,136,14,26,825,66900,715,56313,16008,19698,21981,2145,1134,107682,0.7661447595698445,4.441453566621804
Hibiscus and Bays Local Board,807,65,11,144,12,33,1224,78200,977,75948,5004,1539,7161,804,1284,89829,1.3625889189459974,6.589502018842531
Howick Local Board,654,66,46,402,19,22,1272,84500,1109,67446,6327,5631,47511,2676,1314,127125,1.000589970501475,6.847913862718707
Kaipatiki Local Board,751,100,16,202,21,32,1217,78600,1025,50700,6615,4602,20559,1935,1110,82494,1.4752588067010934,6.551816958277254
Mangere-Otahuhu Local Board,130,43,112,41,7,9,310,59900,273,12690,10335,39045,11151,468,258,70959,0.436871996505024,1.6689098250336474
Manurewa Local Board,287,378,176,93,5,19,777,67800,725,27900,19128,25020,15384,1770,519,82242,0.9447727438535055,4.183041722745625
Maungakiekie-Tamaki Local Board,508,75,34,135,5,24,804,68200,683,30852,8505,16734,15324,1080,702,70002,1.1485386131824804,4.3283983849259755
Orakei Local Board,884,71,14,118,24,36,1227,107800,1031,58671,3600,2172,13698,1365,1101,79536,1.5426976463488233,6.6056527590847915
Otara-Papatoetoe Local Board,91,83,141,63,3,7,342,60800,316,14373,10791,31674,21396,738,351,75663,0.4520042821458309,1.8411843876177658
Papakura Local Board,240,64,26,117,4,25,538,65900,394,26061,11976,6201,5448,585,489,45633,1.178971358446738,2.8963660834454914
Puketapapa Local Board,186,21,19,109,11,10,369,72700,316,19140,2853,8001,22284,1674,414,52938,0.6970418225093505,1.9865410497981157
Rodney Local Board,1262,114,20,57,16,85,1738,70200,1361,46587,5082,1392,1746,210,1065,54882,3.1667942130388838,9.356662180349932
Upper Harbour Local Board,365,35,8,196,13,22,688,89e3,578,33522,2610,1077,15e3,1455,636,53670,1.281907956027576,3.7039030955585464
Waiheke Local Board,174,21,2,2,2,6,230,51400,179,7068,891,228,255,117,132,8340,2.7577937649880093,1.2382234185733512
Waitakere Ranges Local Board,567,64,27,58,11,15,901,79700,663,35754,5001,4968,4335,681,696,48399,1.8616087109237796,4.850605652759085
Waitemata Local Board,971,64,38,126,21,26,1446,79900,1140,45168,4374,3762,20322,2433,822,77136,1.8746110765401371,7.784656796769853
Whau Local Board,406,48,54,151,5,12,708,63900,603,30603,6387,12522,24078,1683,630,72597,0.9752469110293813,3.8115746971736204
